明细	证券代码	证券名称	建仓日期	清仓日期	持股天数	总盈亏	盈亏比例(%)	
	000856	冀东装备	20170804	20170808	3	-309.09	-0.72	
	600362	江西铜业	20170802	20170804	3	422.64	1.93	
	601890	亚星锚链	20170803	20170804	2	79.24	4.81	
	600110	诺德股份	20170801	20170802	2	-975.00	-4.05	
	600362	江西铜业	20170728	20170731	2	663.00	2.62	
	000536	华映科技	20170727	20170728	2	188.00	0.74	
	002136	安纳达	20170720	20170727	6	-160.84	-0.51	
	000939	凯迪生态	20170720	20170727	6	25.00	2.38	
	000878	云南铜业	20170719	20170720	2	-580.16	-1.75	
	600362	江西铜业	20170718	20170719	2	2235.17	7.18	
	600988	赤峰黄金	20170717	20170718	2	-382.84	-4.32	
	000022	深赤湾Ａ	20170714	20170718	3	-2075.60	-8.60	
	600638	新黄浦	20170713	20170717	3	866.13	8.12	
	000856	冀东装备	20170707	20170714	6	-1886.53	-5.01	
	603322	超讯通信	20170706	20170707	2	-133.25	-0.90	
	000856	冀东装备	20170630	20170706	5	1888.25	6.68	
	002082	栋梁新材	20170628	20170630	3	-1742.24	-6.23	
	603758	秦安股份	20170629	20170630	2	-305.14	-2.06	
	603838	四通股份	20170613	20170629	13	29.18	0.08	
	002830	名雕股份	20170622	20170627	4	-427.88	-2.63	
	002662	京威股份	20170616	20170627	8	-7.85	-0.04	
	601890	亚星锚链	20170613	20170623	9	395.00	4.75	
	002349	精华制药	20170615	20170616	2	-163.60	-1.52	
	600619	海立股份	20170516	20170615	21	-331.37	-4.40	
	600259	广晟有色	20170614	20170615	2	-13.97	-0.37	
	601116	三江购物	20170609	20170614	4	642.91	6.41	
	601890	亚星锚链	20170609	20170612	2	-69.28	-1.35	
	603838	四通股份	20170605	20170609	5	934.59	3.98	
	600827	百联股份	20170601	20170609	7	-507.52	-5.26	
	601000	唐山港	20170526	20170607	7	-23.40	-0.71	
	002302	西部建设	20170517	20170601	10	-765.20	-5.49	
	600340	华夏幸福	20170526	20170531	2	-58.49	-1.72	
	000672	上峰水泥	20170525	20170526	2	-22.53	-0.41	
	601633	长城汽车	20170504	20170526	17	-11.43	-0.47	
	601008	连云港	20170524	20170525	2	26.31	0.48	
	601801	皖新传媒	20170511	20170518	6	6.34	0.24	
	601000	唐山港	20170509	20170516	6	70.00	0.96	
	002532	新界泵业	20170515	20170516	2	58.00	2.35	
	601933	永辉超市	20170426	20170512	12	-16.00	-1.25	
	002594	比亚迪	20170503	20170509	5	28.00	0.57	
	002529	海源机械	20170421	20170504	9	-76.00	-4.47	
	601801	皖新传媒	20170411	20170504	17	-97.00	-6.37	
	001696	宗申动力	20170417	20170503	12	-468.00	-9.04	
	001696	宗申动力	20170328	20170411	9	54.00	3.07	
